Pedigree,Trial,Yield,CHM,NGRDI,CHM_48,CHM_63,CHM_70,CHM_73,CHM_82,CHM_98,CHM_112,NGRDI_48,NGRDI_63,NGRDI_70,NGRDI_73,NGRDI_82,NGRDI_98,NGRDI_112
NILASQ4G71I08S3/LH123HT,LP17,5.00193,1.831846787,0.067115225,1.122438663,2.21049482,2.114406818,2.145983251,1.996441737,1.764923402,1.552843634,0.116551909,0.11434765,0.08620392,0.070215701,0.036204713,0.036432918,0.022376868
NILASQ4G71I09S2/LH123HT,LP17,6.23189,1.862823237,0.062513072,1.171830213,2.24338818,2.114593875,2.143289436,2.018888554,1.855022909,1.623800328,0.121590821,0.108024931,0.079971005,0.066669303,0.025786408,0.025159019,0.012792264
NILASQ4G71I10S2/LH123HT,LP17,5.982456,1.899455583,0.065963801,1.202506661,2.294985726,2.156650537,2.192488507,2.059374359,1.862091806,1.655957844,0.118019855,0.110891436,0.083395252,0.068798713,0.03605954,0.035737324,0.019238451
NILASQ4G71I11S3/LH123HT,LP17,6.161168,1.946923216,0.068081087,1.205834515,2.32746326,2.287405568,2.27330286,2.159526921,1.930322068,1.600472327,0.122649636,0.114514833,0.085316764,0.071085906,0.036890178,0.036593637,0.023123643
NILASQ4G71I12S3/LH123HT,LP17,6.212146,1.850740323,0.066778305,1.14167195,2.229191794,2.125571751,2.172076885,2.00726544,1.820696163,1.552166619,0.117242282,0.113031394,0.083230771,0.0681388,0.037356474,0.036946187,0.022597284
PB80/PHZ51,LP17,5.00308,1.877451737,0.058703342,1.139232223,2.205799118,2.058760146,2.124495686,2.052672435,1.890472473,1.785215912,0.113790895,0.106755739,0.072109706,0.060643517,0.019311879,0.019341016,0.010849828
PHB47/PHZ51,LP17,5.235083,1.75500445,0.059539821,1.14196503,2.047250216,1.975920966,2.004565703,1.953963687,1.721603255,1.539189819,0.118571667,0.102576097,0.072014413,0.060352378,0.020161547,0.021589814,0.015945919
PHG29/PHG47,LP17,5.417124,1.493629291,0.060855055,0.924050016,1.744263238,1.71929821,1.787500684,1.62529151,1.411170133,1.267281384,0.116566617,0.109359724,0.072692225,0.058703101,0.025487566,0.027346489,0.014118243
PHG39/PHN82,LP17,6.390613,1.8434877,0.058962017,1.107784615,2.099922549,2.083967073,2.09968523,2.027888478,1.900057314,1.745043862,0.113104872,0.108904511,0.075095556,0.060672256,0.017936116,0.017469206,0.013002419
PHG39/TX205,LP17,7.861319,1.987422392,0.063552537,1.224513667,2.241472091,2.251406843,2.28097046,2.202135418,2.007480084,1.900992206,0.12406874,0.112991691,0.079085469,0.067418715,0.023945457,0.023892773,0.016834396
PHG80/PHZ51,LP17,5.891375,1.784289535,0.061296644,1.145787983,2.044976846,1.999045691,2.016710136,1.920478771,1.785479392,1.681798772,0.120740088,0.110492772,0.074001219,0.065618726,0.021324325,0.020831427,0.012920021
