Pedigree,Range,Row,Rep,Grain Yield (BuA),Grain Yield (t/ha),PlantingDate,Management,Label,Data,Flight,Management,Pedigree,DTA,DTS,PHT,FHT,EHT
NILASQ4G71I01S2/LH123HT,3,299,1,157.5328731,9.883752013,3/3/2017,OI,48_OI,1.005811,48,OI,NILASQ4G71I01S2/LH123HT,69,69,93,76,45
NILASQ4G71I02S2/LH123HT,3,303,1,175.5866633,11.0164628,3/3/2017,OI,48_OI,1.07646,48,OI,NILASQ4G71I02S2/LH123HT,67,70,101,77,52
NILASQ4G71I03S2/LH123HT,3,293,1,203.6545938,12.77746962,3/3/2017,OI,48_OI,1.097,48,OI,NILASQ4G71I03S2/LH123HT,68,69,95,76,46
NILASQ4G71I04S2/LH123HT,3,309,1,178.6619623,11.20940978,3/3/2017,OI,48_OI,0.98,48,OI,NILASQ4G71I04S2/LH123HT,67,69,102,76,49
NILASQ4G71I05S2/LH123HT,3,297,1,169.1458802,10.61236237,3/3/2017,OI,48_OI,1.037,48,OI,NILASQ4G71I05S2/LH123HT,67,69,98,78,48
NILASQ4G71I06S2/LH123HT,3,295,1,167.9761535,10.53897267,3/3/2017,OI,48_OI,1.105,48,OI,NILASQ4G71I06S2/LH123HT,67,69,98,77,49
NILASQ4G71I07S2/LH123HT,3,283,1,178.154029,11.1775416,3/3/2017,OI,48_OI,1.057,48,OI,NILASQ4G71I07S2/LH123HT,68,69,96,78,47
NILASQ4G71I08S3/LH123HT,3,287,1,187.3435962,11.75410319,3/3/2017,OI,48_OI,1.049,48,OI,NILASQ4G71I08S3/LH123HT,67,69,96,81,44
NILASQ4G71I09S2/LH123HT,3,291,1,123.2908016,7.735374112,3/3/2017,OI,48_OI,1.06,48,OI,NILASQ4G71I09S2/LH123HT,67,69,93,77,45
NILASQ4G71I10S2/LH123HT,3,301,1,186.3464649,11.69154228,3/3/2017,OI,48_OI,1.039,48,OI,NILASQ4G71I10S2/LH123HT,67,69,101,77,37
NILASQ4G71I11S3/LH123HT,3,307,1,185.1809311,11.61841566,3/3/2017,OI,48_OI,0.911,48,OI,NILASQ4G71I11S3/LH123HT,70,70,92,79,47
NILASQ4G71I12S3/LH123HT,3,285,1,190.8811349,11.9760515,3/3/2017,OI,48_OI,1.04601,48,OI,NILASQ4G71I12S3/LH123HT,67,68,98,73,53
PB80/PHZ51,6,297,1,176.8104549,11.09324457,3/3/2017,OI,48_OI,0.93501,48,OI,PB80/PHZ51,67,68,94,74,50
PHB47/PHZ51,6,285,1,162.3554985,10.1863278,3/3/2017,OI,48_OI,1.005,48,OI,PHB47/PHZ51,63,63,102,77,43
PHG29/PHG47,6,309,1,152.4621113,9.565607924,3/3/2017,OI,48_OI,0.715,48,OI,PHG29/PHG47,62,62,83,62,40
PHG39/PHN82,6,271,1,172.5433973,10.82552559,3/3/2017,OI,48_OI,0.847,48,OI,PHG39/PHN82,67,68,92,70,45
PHG39/TX205,6,279,1,174.6351514,10.9567641,3/3/2017,OI,48_OI,0.982755,48,OI,PHG39/TX205,69,69,94,78,48
PHG80/PHZ51,6,303,1,143.0077911,8.972435501,3/3/2017,OI,48_OI,0.951,48,OI,PHG80/PHZ51,65,67,92,73,48
PHHB9/LH123HT,8,265,1,178.523,11.20069116,3/3/2017,OI,48_OI,0.93452,48,OI,PHHB9/LH123HT,68,69,93,64,43
PHHB9/LH185,7,295,1,160.1063283,10.04521287,3/3/2017,OI,48_OI,0.816,48,OI,PHHB9/LH185,67,68,87,67,38
PHHB9/LH210,9,313,1,169.8484779,10.65644396,3/3/2017,OI,48_OI,0.845,48,OI,PHHB9/LH210,68,67,93,74,45
PHHB9/NK787,8,261,1,187.9120246,11.78976689,3/3/2017,OI,48_OI,0.88519,48,OI,PHHB9/NK787,68,70,88,71,42
PHHB9/PHJ65,7,313,1,176.6963617,11.08608626,3/3/2017,OI,48_OI,0.77358,48,OI,PHHB9/PHJ65,70,68,91,74,41
