Pedigree,Trial,Yield,CHM,NGRDI,CHM_39,CHM_63,CHM_75,CHM_88,CHM_96,NGRDI_39,NGRDI_63,NGRDI_75,NGRDI_88,NGRDI_96
GA788VT2PRO (2017),LP19,7.440021,1.458768528,0.141279118,0.567088206,1.639565025,1.688877158,1.792133956,1.613722082,0.112850577,0.163222043,0.200144049,0.149180425,0.114644133
GP474GT-B16,LP19,8.801523,1.63004563,0.139006766,0.686505539,1.801623546,1.89566457,1.980727462,1.831721031,0.111646643,0.170371703,0.191517284,0.139759618,0.105803016
LG5701VT2PRO (2018),LP19,8.713906,1.523387801,0.14184502,0.588922289,1.645837506,1.768200273,1.874770098,1.764576043,0.107573695,0.166284832,0.204765209,0.147837465,0.110403179
red stalker fill,LP19,6.408985,1.441869833,0.127658321,0.532257813,1.627746505,1.685979843,1.746862155,1.62394062,0.096119501,0.150373929,0.183081796,0.126365083,0.088608233
REV23LPR55 (2017),LP19,7.596122,1.638878165,0.140095571,0.656650953,1.821101447,1.95365964,1.974389829,1.838920814,0.113233479,0.159018355,0.189447996,0.14771105,0.108477807
((((B104-1 x Tx714-B/B110 x FR2128-B)-12-4-B-B-B-B/SCR82-B)-B-B-1-B-B-B2-1-1-B15-B17-B17-B6-B7)/Tx779),OI19,10.026261,1.409048179,0.135200378,0.54725699,1.487321061,1.805167518,1.618641509,1.593400928,0.109311786,0.155411699,0.130835472,0.134607412,0.13488591
((((B104-1 x Tx714-B-B)-23-1-B-B-B-B/(CML288/NC300)-B-9-B1-B-B-B)-B-B-2-3-B-B-B-B-1-B11-B14-1)/Tx777),OI19,5.462459,1.065769275,0.134127195,0.275388999,1.157962013,1.398625062,1.229325544,1.198196655,0.098961599,0.145949332,0.127133787,0.140267008,0.138113641
((((TX772W/RedStalker-6)//TX772W)///TX772W)-B2////TX772W)-1-B4-B25-B8-B4-B/LH195 (ex-pvp),OI19,6.550466,1.142808945,0.12411193,0.408457268,1.22638874,1.453404352,1.295797148,1.27266956,0.087339318,0.136728518,0.115227299,0.122793335,0.127725929
(((CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-200-2-1-3-B13)/Tx777),OI19,8.298962,1.38261862,0.139461896,0.542778956,1.439109554,1.770556126,1.591396747,1.572034164,0.09754198,0.161856298,0.140305149,0.148022413,0.144765476
(((CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-23-3-1-1-B22)/Tx777),OI19,9.12251,1.272054105,0.142613735,0.407019922,1.318461917,1.669950329,1.471805364,1.465759021,0.09229554,0.160316876,0.150119655,0.151791517,0.151631591
(((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27-B12-1-B25-B12)/TZAR106-B18),OI19,8.209317,1.284072378,0.137844275,0.396002398,1.342847505,1.664431691,1.504756238,1.496987337,0.094486712,0.141907995,0.138983665,0.144999052,0.153857775
(((LH195//Tx773)-B3-17-2-1-B6)/LH287RR2),OI19,6.711682,1.319164027,0.138145436,0.520448623,1.400360251,1.668025948,1.512132446,1.477374656,0.094290775,0.146795951,0.132104286,0.145731959,0.152363543
(((NC300 x Tx714-B/B104-1/CML343)-2-1-B-B-B-B-B-B-B-B-1-B25-B23-B22-B26)/((B104-1 x Tx714-B/B110 x FR2128-B)-12-4-B-B-B-B/SCR82-B)-B-B-1-B-B-B2-1-1-B15-B17-B17-B25),OI19,7.992851,1.194529273,0.135780466,0.389885603,1.29904122,1.521597613,1.378722796,1.336876155,0.092047901,0.147278314,0.121708401,0.138753935,0.150132066
(((NC300 x Tx714-B/B104-1/CML343)-2-1-B-B-B-B-B-B-B-B-1-B25-B23-B22-B26)/((B104-1 x Tx714-B-B)-23-1-B-B-B-B/(CML288/NC300)-B-9-B1-B-B-B)-B-B-1-1-B-B-B-B-1-B15-1-B21),OI19,7.401136,1.206996176,0.142607166,0.382220337,1.268919325,1.572128079,1.394844832,1.375959394,0.097980451,0.154865943,0.145010205,0.151653117,0.155471154
